# Version: 2.0
# Date: August 18 2026
# Description: Battery energy storage system inventory
# Functional unit: 200 kWh/n_bess energy discharged from storage during use over a 15-year lifetime
# Parameter: n_bess
# Parameter_Description: Number of battery energy storage systems
# Parameter_Default: 1.0
Stage,Item,Inventory Selection,Location,Amount,Unit,Database,UUID,UUID-Source,Brightway Match Code,Brightway Match Key,Description,Brightway Match Name,Brightway Match Database,Brightway Match Location,Brightway Match Ref Product
Production,Battery,"Battery cell, Li-ion, NMC811 {RoW}| battery cell production, Li-ion, NMC811 | Cut-off, U",RoW,900,kg,ecoinvent-3.10-cutoff,17b8810b-980e-553b-bc36-2b618d60de7e,SimaPro,46c7a294d0b06ed3004c0158f2387073,"('ecoinvent-3.10-cutoff', '46c7a294d0b06ed3004c0158f2387073')",NMC type,"battery cell production, Li-ion, NMC811",ecoinvent-3.10-cutoff,RoW,"battery cell, Li-ion, NMC811"
Production,Inverter,"Inverter, 0.5kW {RoW}| inverter production, 0.5kW | Cut-off, U",RoW,1,p,ecoinvent-3.10-cutoff,96e974e5-313a-5edb-827e-546233ed055a,SimaPro,f85d93ed99a8631a2dfda3be7dd8194c,"('ecoinvent-3.10-cutoff', 'f85d93ed99a8631a2dfda3be7dd8194c')","Power electronics, magnetics, heat sinks, casing","inverter production, 0.5kW",ecoinvent-3.10-cutoff,RoW,"inverter, 0.5kW"
Production,Electronics housing,"Polypropylene, granulate {RoW}| polypropylene production, granulate | Cut-off, U",RoW,10,kg,ecoinvent-3.10-cutoff,04212d2d-b271-54c1-96d3-e5f0f89ce20e,SimaPro,3c187b384218a3c75c961bc3556576de,"('ecoinvent-3.10-cutoff', '3c187b384218a3c75c961bc3556576de')",Assumed PP,"polypropylene production, granulate",ecoinvent-3.10-cutoff,RoW,"polypropylene, granulate"
Production,Wiring,"Copper concentrate, sulfide ore {US}| copper mine operation and beneficiation, sulfide ore | Cut-off, U",US,20,kg,ecoinvent-3.10-cutoff,848c507a-bf63-55fe-806c-cce2ec49e197,SimaPro,cbeb81298985f02ca088bddbb987d820,"('ecoinvent-3.10-cutoff', 'cbeb81298985f02ca088bddbb987d820')",Copper for wire drawing,"copper mine operation and beneficiation, sulfide ore",ecoinvent-3.10-cutoff,US,"copper concentrate, sulfide ore"
Production,Electronics,"Electronics, for control units {RoW}| electronics production, for control units | Cut-off, U",RoW,10,kg,ecoinvent-3.10-cutoff,b88ece4b-cff4-5bc6-871b-632757248445,SimaPro,632eadaaaba7cdf5119d0368e930a53a,"('ecoinvent-3.10-cutoff', '632eadaaaba7cdf5119d0368e930a53a')",General estimate,"electronics production, for control units",ecoinvent-3.10-cutoff,RoW,"electronics, for control units"
Production,Injection molding,"Injection moulding {CA-QC}| injection moulding | Cut-off, U",CA-QC,10,kg,ecoinvent-3.10-cutoff,17b8810b-980e-553b-bc36-2b618d60de7e,SimaPro,c033968cb16f64462f0f128aeb00a484,"('ecoinvent-3.10-cutoff', 'c033968cb16f64462f0f128aeb00a484')",Injection molding,injection moulding,ecoinvent-3.10-cutoff,CA-QC,injection moulding
Production,Wire drawing,"Wire drawing, copper {RoW}| wire drawing, copper | Cut-off, U",RoW,20,kg,ecoinvent-3.10-cutoff,14ba74a0-11f1-54c2-a187-5eb6f3d7eea1,SimaPro,4e6d4f0f9f56b770580da017e61dcbc6,"('ecoinvent-3.10-cutoff', '4e6d4f0f9f56b770580da017e61dcbc6')",For copper wiring,"wire drawing, copper",ecoinvent-3.10-cutoff,RoW,"wire drawing, copper"
Transport,Ocean freight,"Transport, freight, sea, container ship {GLO}| transport, freight, sea, container ship | Cut-off, U",GLO,13892,tkm,ecoinvent-3.10-cutoff,951bece1-40e9-52c6-886e-2a0beaab9959,SimaPro,adfdb80aa11ef79207fe78da285a5320,"('ecoinvent-3.10-cutoff', 'adfdb80aa11ef79207fe78da285a5320')",,"transport, freight, sea, container ship",ecoinvent-3.10-cutoff,GLO,"transport, freight, sea, container ship"
Transport,Truck,"Transport, freight, lorry >32 metric ton, EURO3 {RoW}| transport, freight, lorry >32 metric ton, EURO3 | Cut-off, U",RoW,1528,tkm,ecoinvent-3.10-cutoff,744b4753-4710-561f-96e9-5dd1152abb26,SimaPro,5059050b95b949d40f4f2547270bbd96,"('ecoinvent-3.10-cutoff', '5059050b95b949d40f4f2547270bbd96')",,"transport, freight, lorry >32 metric ton, EURO3",ecoinvent-3.10-cutoff,RoW,"transport, freight, lorry >32 metric ton, EURO3"
End-of-life,Landfill,"Process-specific burdens, inert material landfill {RoW}| process-specific burdens, inert material landfill | Cut-off, U",,1280,kg,ecoinvent-3.10-cutoff,9fc5b7f2-4899-5c5f-91dd-a3c01a6a7577,SimaPro,d36fed351a206298d821449cc2634f60,"('ecoinvent-3.10-cutoff', 'd36fed351a206298d821449cc2634f60')",,"process-specific burdens, inert material landfill",ecoinvent-3.10-cutoff,RoW,"process-specific burdens, inert material landfill"
